wals_code,name,latitude,longitude,genus,family,countrycodes,Glottocode,ASJP,glotFam,feature,value,comment,source,imputation,languageIndex,featureIndex,prediction
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Consonant_Inventories,1,Small,test,Tuc.TUCANOAN.CUBEO,1209,9,0
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Vowel_Quality_Inventories,0,,test,Tuc.TUCANOAN.CUBEO,1209,10,2
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Consonant-Vowel_Ratio,1,Low,test,Tuc.TUCANOAN.CUBEO,1209,11,0
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Voicing_in_Plosives_and_Fricatives,2,In plosives alone,test,Tuc.TUCANOAN.CUBEO,1209,12,0
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Voicing_and_Gaps_in_Plosive_Systems,4,Missing /g/,test,Tuc.TUCANOAN.CUBEO,1209,13,0
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Uvular_Consonants,1,None,test,Tuc.TUCANOAN.CUBEO,1209,14,0
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Glottalized_Consonants,0,,test,Tuc.TUCANOAN.CUBEO,1209,15,1
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Lateral_Consonants,1,No laterals,test,Tuc.TUCANOAN.CUBEO,1209,16,0
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Front_Rounded_Vowels,1,None,test,Tuc.TUCANOAN.CUBEO,1209,19,0
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Syllable_Structure,1,Simple,test,Tuc.TUCANOAN.CUBEO,1209,20,0
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Tone,2,Simple tone system,test,Tuc.TUCANOAN.CUBEO,1209,84,0
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Fixed_Stress_Locations,1,No fixed stress,test,Tuc.TUCANOAN.CUBEO,1209,5,0
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Weight-Sensitive_Stress,0,,test,Tuc.TUCANOAN.CUBEO,1209,6,7
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Weight_Factors_in_Weight-Sensitive_Stress_Systems,0,,test,Tuc.TUCANOAN.CUBEO,1209,7,6
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Rhythm_Types,0,,test,Tuc.TUCANOAN.CUBEO,1209,8,1
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Absence_of_Common_Consonants,4,No nasals,test,Tuc.TUCANOAN.CUBEO,1209,21,0
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Presence_of_Uncommon_Consonants,0,,test,Tuc.TUCANOAN.CUBEO,1209,22,1
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Prefixing_vs._Suffixing_in_Inflectional_Morphology,2,Strongly suffixing,test,Tuc.TUCANOAN.CUBEO,1209,25,0
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Distance_Contrasts_in_Demonstratives,0,,test,Tuc.TUCANOAN.CUBEO,1209,97,3
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Pronominal_and_Adnominal_Demonstratives,0,,test,Tuc.TUCANOAN.CUBEO,1209,98,1
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Third_Person_Pronouns_and_Demonstratives,2,Related for all demonstratives,test,Tuc.TUCANOAN.CUBEO,1209,169,0
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Gender_Distinctions_in_Independent_Personal_Pronouns,3,3rd person singular only,test,Tuc.TUCANOAN.CUBEO,1209,32,0
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Intensifiers_and_Reflexive_Pronouns,2,Differentiated,test,Tuc.TUCANOAN.CUBEO,1209,100,0
cub,Cubeo,1.33333333333,-70.5,Tucanoan,Tucanoan,US,cube1242,Tuc.TUCANOAN.CUBEO,Tucanoan,Person_Marking_on_Adpositions,0,,test,Tuc.TUCANOAN.CUBEO,1209,33,2
